resource_id,log_entry_id,log_variable_id,log_variable_value
3,1,1,2017-01-06-01:07:16
3,1,2,demo_input.csv
3,2,3,2017-01-06-01:07:16
3,2,4,17584384
3,3,3,2017-01-06-01:07:16
3,3,4,54670823
3,4,3,2017-01-06-01:07:16
3,4,4,39038959
3,5,3,2017-01-06-01:07:16
3,5,4,26048214
3,6,3,2017-01-06-01:07:16
3,6,4,15214240
3,7,3,2017-01-06-01:07:16
3,7,4,33754619
3,8,3,2017-01-06-01:07:16
3,8,4,21958701
3,9,3,2017-01-06-01:07:16
3,9,4,76993653
3,10,3,2017-01-06-01:07:16
3,10,4,13176094
3,11,3,2017-01-06-01:07:16
3,11,4,26816013
3,12,5,2017-01-06-01:07:16
3,12,6,scientificName
3,12,7,NO
3,13,5,2017-01-06-01:07:16
3,13,6,scientificName
3,13,7,NO
3,14,5,2017-01-06-01:07:16
3,14,6,scientificName
3,14,7,NO
3,15,5,2017-01-06-01:07:16
3,15,6,scientificName
3,15,7,NO
3,16,5,2017-01-06-01:07:16
3,16,6,scientificName
3,16,7,NO
3,17,5,2017-01-06-01:07:16
3,17,6,scientificName
3,17,7,YES
3,18,5,2017-01-06-01:07:16
3,18,6,scientificName
3,18,7,NO
3,19,5,2017-01-06-01:07:16
3,19,6,scientificName
3,19,7,NO
3,20,5,2017-01-06-01:07:16
3,20,6,scientificName
3,20,7,NO
3,21,5,2017-01-06-01:07:16
3,21,6,scientificName
3,21,7,NO
3,22,8,2017-01-06-01:07:16
3,22,9,ACCEPTED
3,22,10,17584384
3,23,8,2017-01-06-01:07:16
3,23,9,ACCEPTED
3,23,10,54670823
3,24,8,2017-01-06-01:07:16
3,24,9,UNABLE-to-validate
3,24,10,39038959
3,25,8,2017-01-06-01:07:16
3,25,9,ACCEPTED
3,25,10,26048214
3,26,8,2017-01-06-01:07:16
3,26,9,ACCEPTED
3,26,10,15214240
3,27,8,2017-01-06-01:07:16
3,27,9,UNABLE-to-validate
3,27,10,33754619
3,28,8,2017-01-06-01:07:16
3,28,9,ACCEPTED
3,28,10,21958701
3,29,8,2017-01-06-01:07:16
3,29,9,ACCEPTED
3,29,10,76993653
3,30,8,2017-01-06-01:07:16
3,30,9,ACCEPTED
3,30,10,13176094
3,31,8,2017-01-06-01:07:16
3,31,9,ACCEPTED
3,31,10,26816013
3,32,11,2017-01-06-01:07:16
3,32,12,external_check
3,32,13,local_authority_source
3,32,14,EXACT
3,32,15,scientificName
3,32,16,Placopecten magellanicus
3,33,11,2017-01-06-01:07:16
3,33,12,external_check
3,33,13,local_authority_source
3,33,14,EXACT
3,33,15,scientificName
3,33,16,Placopecten magellanicus
3,34,11,2017-01-06-01:07:16
3,34,12,external_check
3,34,13,local_authority_source
3,34,14,EXACT
3,34,15,scientificName
3,34,16,magellanicus placopecten
3,35,11,2017-01-06-01:07:16
3,35,12,external_check
3,35,13,local_authority_source
3,35,14,FUZZY
3,35,15,scientificName
3,35,16,magellanicus placopecten
3,36,11,2017-01-06-01:07:16
3,36,12,external_check
3,36,13,local_authority_source
3,36,14,EXACT
3,36,15,scientificName
3,36,16,Placopecten magellanicus
3,37,11,2017-01-06-01:07:16
3,37,12,external_check
3,37,13,local_authority_source
3,37,14,EXACT
3,37,15,scientificName
3,37,16,Placopecten magellanicus
3,38,11,2017-01-06-01:07:16
3,38,12,external_check
3,38,13,local_authority_source
3,38,14,EXACT
3,38,15,scientificName
3,38,16,Placopcten magellanicus
3,39,11,2017-01-06-01:07:16
3,39,12,external_check
3,39,13,local_authority_source
3,39,14,FUZZY
3,39,15,scientificName
